path,size_bytes,file_count
./dashboard/frontend/node_modules/@csstools/css-color-parser/dist,53248,2
./dashboard/frontend/node_modules/@adobe/css-tools/dist,135168,9
./dashboard/frontend/node_modules/@humanfs/core/dist,36864,5
./dashboard/frontend/node_modules/@humanfs/node/dist,24576,3
./dashboard/frontend/node_modules/@napi-rs/wasm-runtime/dist,6254592,2
./dashboard/frontend/node_modules/@radix-ui/react-select/dist,356352,6
./dashboard/frontend/node_modules/@radix-ui/react-focus-guards/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-dismissable-layer/dist,98304,6
./dashboard/frontend/node_modules/@radix-ui/react-slot/dist,57344,6
./dashboard/frontend/node_modules/@radix-ui/react-use-callback-ref/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-use-rect/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-accessible-icon/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-dropdown-menu/dist,114688,6
./dashboard/frontend/node_modules/@radix-ui/react-navigation-menu/dist,233472,6
./dashboard/frontend/node_modules/@radix-ui/react-use-is-hydrated/dist,24576,6
./dashboard/frontend/node_modules/@vitest/spy/dist,40960,2
./dashboard/frontend/node_modules/@vitest/snapshot/dist,73728,8
./dashboard/frontend/node_modules/@vitest/runner/dist,212992,8
./dashboard/frontend/node_modules/@vitest/utils/dist,245760,28
./dashboard/frontend/node_modules/@vitest/mocker/dist,262144,28
./dashboard/frontend/node_modules/@vitest/pretty-format/dist,53248,2
./dashboard/frontend/node_modules/@vitest/expect/dist,106496,2
./dashboard/frontend/node_modules/@radix-ui/react-menubar/dist,147456,6
./dashboard/frontend/node_modules/@radix-ui/react-use-size/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-tabs/dist,61440,6
./dashboard/frontend/node_modules/@radix-ui/react-progress/dist,36864,6
./dashboard/frontend/node_modules/@radix-ui/react-popper/dist,94208,6
./dashboard/frontend/node_modules/@radix-ui/react-context/dist,45056,6
./dashboard/frontend/node_modules/@radix-ui/react-direction/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-focus-scope/dist,69632,6
./dashboard/frontend/node_modules/@radix-ui/react-form/dist,139264,6
./dashboard/frontend/node_modules/@radix-ui/react-use-previous/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-portal/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-tooltip/dist,143360,6
./dashboard/frontend/node_modules/@radix-ui/rect/dist,32768,6
./dashboard/frontend/node_modules/@radix-ui/react-radio-group/dist,118784,6
./dashboard/frontend/node_modules/@radix-ui/react-use-layout-effect/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-alert-dialog/dist,65536,6
