path,depth,file_count,total_bytes,total_loc,newest_mtime,days_stale
.tmp/runs/ai_creators_20260618_153001,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_153003,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_153006,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_153007,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_153010,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_153011,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_153013,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_153015,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_153017,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_153019,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_153443,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_153444,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_153446,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_153448,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_153450,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_153452,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_153454,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_153456,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_153458,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_153500,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_154131,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_154133,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_154135,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_154137,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_154139,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_154141,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_154143,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_154144,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_154146,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_154148,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_154619,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_154621,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_154623,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_154625,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_154627,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_154629,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_154631,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_154633,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_154635,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_154637,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_155206,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_155208,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_155209,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_155211,3,1,607,31,2026-06-18,35
