path,depth,file_count,total_bytes,total_loc,newest_mtime,days_stale
BlackboxBrief/execution/sources,3,7,42084,1242,2026-05-21,63
BlackboxBrief/execution/scrapers,3,2,12572,353,2026-05-21,63
BlackboxBrief/core,2,3,6290,3,2026-05-21,63
.hypothesis/unicode_data/15.1.0,3,1,21735,0,2026-05-22,63
.hypothesis/unicode_data,2,2,43997,0,2026-05-22,63
genlab-core/configs,2,2,2656,82,2026-05-23,62
genlab-core/.grimp_cache,2,4,51857,2,2026-05-23,62
CriticalRush/core,2,2,7288,217,2026-05-22,62
BlackboxBrief/docker/short-video-maker,3,3,12286004,16,2026-05-23,61
BlackboxBrief/docker,2,3,12286004,16,2026-05-23,61
